filename,age,gender,pitch,intensity,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mean_mfccs,std_mfccs,age_integer
cv-valid-test/sample-000003.mp3,twenties,male,1263.4595947265625,0.009358990006148815,2644.264958655471,2748.4681480417357,0.06829859310165975,"[-588.1030883789062, 106.3888931274414, 19.169490814208984, 25.312467575073242, 1.0203213691711426, 20.175331115722656, 2.670224189758301, -7.632872581481934, 8.2710599899292, -5.705660343170166, -7.087500095367432, -6.859979629516602, -7.95133113861084]","[116.1430892944336, 75.91016387939453, 40.55698776245117, 23.41385841369629, 25.973072052001953, 20.46609115600586, 13.019944190979004, 13.038862228393555, 11.283761024475098, 11.089276313781738, 12.340616226196289, 9.26464557647705, 9.728405952453613]",25
cv-valid-test/sample-000006.mp3,twenties,male,1939.5467529296875,0.005506130866706371,3490.6656029927844,3096.6156504710134,0.10935386709851937,"[-559.5885620117188, 89.20862579345703, -12.495049476623535, 32.5401496887207, 12.109185218811035, 10.346272468566895, 3.302351713180542, 1.457547903060913, 4.402275562286377, -4.053699016571045, 1.867487907409668, 0.53592449426651, 1.2647156715393066]","[73.28211975097656, 47.816802978515625, 38.071407318115234, 24.42136001586914, 19.14683723449707, 18.70958137512207, 10.99592113494873, 10.125471115112305, 9.12362289428711, 8.047801971435547, 6.927737236022949, 7.600751876831055, 8.316507339477539]",25
cv-valid-test/sample-000008.mp3,thirties,male,1633.5780029296875,0.08970405161380768,2447.306170294608,1725.8965330962114,0.0903851775085034,"[-331.307861328125, 137.71067810058594, -16.55085563659668, 41.74449920654297, 10.395012855529785, -31.924030303955078, 0.0230131596326828, -12.444010734558105, -2.293297290802002, 9.164125442504883, -29.0712947845459, -11.897283554077148, 11.995782852172852]","[105.1763687133789, 82.72093963623047, 50.996368408203125, 39.080108642578125, 23.918798446655273, 29.99693489074707, 22.070520401000977, 16.384469985961914, 13.48511028289795, 13.7048921585083, 16.440641403198242, 11.089627265930176, 13.925110816955566]",35
cv-valid-test/sample-000009.mp3,fifties,male,1800.5167236328125,0.03300345689058304,2492.985509309813,2431.462897875468,0.08004885154376498,"[-410.3009338378906, 138.95059204101562, -24.662996292114258, 5.022217750549316, 13.233755111694336, 7.1409430503845215, -16.135967254638672, 9.590631484985352, -12.81814193725586, -12.766839981079102, -1.3777906894683838, -10.89704418182373, 0.41426411271095276]","[130.2633056640625, 77.92710876464844, 40.90172576904297, 26.1223087310791, 28.421045303344727, 20.73574447631836, 19.394044876098633, 16.175710678100586, 12.096335411071777, 11.622867584228516, 12.619037628173828, 12.792583465576172, 16.100196838378906]",55
cv-valid-test/sample-000011.mp3,twenties,male,1844.358154296875,0.03275292366743088,2598.063544484117,2549.647382973505,0.06958486519607843,"[-426.01397705078125, 138.55113220214844, -32.11507797241211, 19.568912506103516, 38.21542739868164, 16.600650787353516, -10.441158294677734, 12.435661315917969, 0.4750966727733612, -9.084521293640137, 12.057918548583984, -4.58687162399292, -7.542717933654785]","[142.3624725341797, 74.72188568115234, 39.383934020996094, 25.010602951049805, 28.673381805419922, 15.582484245300293, 24.66547966003418, 12.100103378295898, 14.417665481567383, 16.603286743164062, 11.229670524597168, 11.291049003601074, 13.526959419250488]",25
cv-valid-test/sample-000014.mp3,twenties,male,1617.2698974609375,0.02719269134104252,2641.7135610870787,2602.93306799401,0.07055101526497695,"[-450.1402282714844, 117.51420593261719, -11.099579811096191, 34.53816604614258, 23.737165451049805, 12.65989875793457, 2.6395561695098877, -6.223335266113281, 4.083960056304932, 4.210781574249268, -7.272122383117676, -2.3188512325286865, 7.209075450897217]","[102.65601348876953, 62.50736999511719, 38.034385681152344, 32.758445739746094, 20.353069305419922, 14.212129592895508, 14.685258865356445, 14.852546691894531, 6.122869968414307, 8.145380020141602, 10.634560585021973, 9.537589073181152, 8.011350631713867]",25
cv-valid-test/sample-000016.mp3,twenties,male,1501.98828125,0.011292055249214172,3138.356198475603,2830.4631714291677,0.09387849506578948,"[-510.35784912109375, 119.89622497558594, 0.6165183782577515, 37.537506103515625, -16.861343383789062, -9.41333293914795, -3.2627742290496826, 0.1108115091919899, -8.613807678222656, -17.676118850708008, -13.656617164611816, -16.866960525512695, -2.280470132827759]","[91.614013671875, 70.75647735595703, 38.81080627441406, 31.252180099487305, 17.495561599731445, 14.064640998840332, 9.901453018188477, 10.820666313171387, 10.035725593566895, 10.763470649719238, 12.653454780578613, 9.061063766479492, 8.670778274536133]",25
cv-valid-test/sample-000022.mp3,twenties,male,1457.985107421875,0.014276634901762009,2536.720216854769,2377.3694970221172,0.07456733923884515,"[-514.8276977539062, 144.01295471191406, -10.234945297241211, 21.361032485961914, -3.4253525733947754, 13.262706756591797, 7.46506929397583, 7.328555583953857, 6.228967189788818, -5.884943962097168, -3.2910749912261963, -4.663041591644287, 0.7860945463180542]","[121.30349731445312, 86.5871353149414, 51.029666900634766, 29.025476455688477, 25.750932693481445, 14.394742965698242, 14.41639518737793, 17.800731658935547, 11.616168022155762, 10.737041473388672, 13.630403518676758, 10.984663009643555, 9.005938529968262]",25
cv-valid-test/sample-000031.mp3,twenties,male,1509.684326171875,0.22024813294410706,2958.7416800680876,2952.4378238041345,0.07558795103092783,"[-209.8394012451172, 124.08367919921875, -6.959031105041504, 52.46750259399414, 6.49242639541626, 31.814908981323242, -4.534875869750977, -3.85618257522583, 5.625222682952881, -9.549927711486816, 6.502397537231445, -1.3334076404571533, -0.9268420338630676]","[75.28695678710938, 58.460487365722656, 32.96004104614258, 25.168109893798828, 24.25982093811035, 18.355663299560547, 10.502589225769043, 14.418607711791992, 11.22504997253418, 9.016526222229004, 8.691353797912598, 9.769598007202148, 10.472908973693848]",25
cv-valid-test/sample-000034.mp3,fifties,female,1461.8974609375,0.02594636008143425,2243.0438096576504,2531.2091415179298,0.05200506981382979,"[-530.7909545898438, 98.71505737304688, 20.44141960144043, 10.14041805267334, 12.31165885925293, -0.5284212827682495, -3.0821354389190674, 0.5050057172775269, -2.508948564529419, -2.4156198501586914, -2.0052945613861084, -7.000251770019531, -5.738363265991211]","[114.17316436767578, 88.73500061035156, 20.522621154785156, 14.537961959838867, 15.926520347595215, 12.519560813903809, 9.43056583404541, 8.905365943908691, 9.224542617797852, 8.027371406555176, 7.018847942352295, 6.4865312576293945, 5.437826633453369]",55
